product_number,family_id,product_title,size
"9510125","fam_1d38a06cb650","LAUFEN Pro S Wall Basin Only 1 Taphole with Overflow 850x465 White","850x465"
"1810942","fam_13988f2536ae","LAUFEN Pro S Wall/Counter Basin Left Hand Basin 1 Taphole with Overflow 360x250 with Fixing Bolts White","360x250"
"1810941","fam_13988f2536ae","LAUFEN Pro S Wall/Counter Basin Left Hand Basin 1 Taphole with Overflow 480x280 with Fixing Bolts White","480x280"
"1810940","fam_13988f2536ae","LAUFEN Pro S Wall/Counter Basin Right Hand Basin 1 Taphole with Overflow 480x280 with Fixing Bolts White","480x280"
"9510130","fam_870023204ada","LAUFEN Pro S Wall/Counter Basin Only Left Hand Basin 1 Taphole with Overflow 360x250 White","360x250"
"9510129","fam_870023204ada","LAUFEN Pro S Wall/Counter Basin Only Left Hand Basin 1 Taphole with Overflow 480x280 White","480x280"
"9510128","fam_870023204ada","LAUFEN Pro S Wall/Counter Basin Only Right Hand Basin 1 Taphole with Overflow 480x280 White","480x280"
"9510131","fam_b151b0d5e01b","LAUFEN Pro S Wall/Counter Basin Only 1 Taphole with Overflow 450x340 White","450x340"
"9510127","fam_b151b0d5e01b","LAUFEN Pro S Wall/Counter Basin Only 1 Taphole with Overflow 650x465 White","650x465"
"9508611","fam_c11bce467e08","LAUFEN Sonar Above Counter Basin 340mm x 340mm White","340mm x 340mm"
"9510138","fam_c11bce467e08","LAUFEN Sonar Above Counter Basin 410mm x 365mm White","410mm x 365mm"
"9509855","fam_c11bce467e08","LAUFEN Sonar Textured Above Counter Basin 340mm x 340mm White","340mm x 340mm"
"9508612","fam_c11bce467e08","LAUFEN Sonar Textured Above Counter Basin 410mm x 365mm White","410mm x 365mm"
"9510135","fam_d471c56ad3cc","LAUFEN Sonar Wall Basin Only with Overflow 1 Taphole 410x420 White","410x420"
"9510136","fam_d471c56ad3cc","LAUFEN Sonar Wall Basin Only with Overflow 1 Taphole 600x420 White","600x420"
"1810946","fam_429d72ba0aa0","LAUFEN Sonar Wall Basin with Overflow 1 Taphole 410x420 with Fixing Bolts White","410x420"
"1810947","fam_429d72ba0aa0","LAUFEN Sonar Wall Basin with Overflow 1 Taphole 600x420 with Fixing Bolts White","600x420"
"9509861","fam_0353c68fdb29","LAUFEN The New Classic Above Counter Basin 550mm x 380mm","550mm x 380mm"
"1860673","fam_0353c68fdb29","LAUFEN The New Classic Above Counter Basin 550mm x 380mm Matte White","550mm x 380mm"
"1810951","fam_9f24b0f15a7d","LAUFEN Val Wall Basin Left Hand Basin 1 Taphole with Overflow 550x315 with Fixing Bolts White","550x315"
"1810952","fam_9f24b0f15a7d","LAUFEN Val Wall Basin Right Hand Basin 1 Taphole with Overflow 550x315 with Fixing Bolts White","550x315"
"9510143","fam_af1af65d5916","LAUFEN Val Wall Basin Only Left Hand Basin 1 Taphole with Over Flow 550x315 White","550x315"
"9510144","fam_af1af65d5916","LAUFEN Val Wall Basin Only Right Hand Basin 1 Taphole with Over Flow 550x315 White","550x315"
"1810959","fam_6efbf36c1679","LAUFEN Val Wall/Counter Basin 1 Taphole with Overflow 600x310 with Fixing Bolts White","600x310"
"1810955","fam_6efbf36c1679","LAUFEN Val Wall/Counter Basin 1 Taphole with Overflow 650x420 with Fixing Bolts White","650x420"
"9510145","fam_f4f2c5aecfcf","LAUFEN Val Wall/Counter Basin Only 1 Taphole with Overflow 400x425 White","400x425"
"9510148","fam_f4f2c5aecfcf","LAUFEN Val Wall/Counter Basin Only 1 Taphole with Overflow 650x420 White","650x420"
"9510146","fam_447fc88e70a7","LAUFEN Val Wall/Counter Basin Only 1 Taphole with Overflow 530x400 Internal Texture White","530x400"
"9510147","fam_447fc88e70a7","LAUFEN Val Wall/Counter Basin Only 1 Taphole with Overflow 600x310 Internal Texture White","600x310"
"2299638","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 1100mm Brushed Gold","500 x 1100mm"
"2299551","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 1100mm Brushed Nickel","500 x 1100mm"
"2299543","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 1100mm Chrome","500 x 1100mm"
"2299547","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 1100mm Matte Black","500 x 1100mm"
"2299555","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 1100mm Brushed Gunmetal","500 x 1100mm"
"2299636","fam_f8802d6ec086","Milli Mood Edit Heated Towel Rail 500 x 800mm Brushed Gold","500 x 800mm"
